"sector;Año;Mes;Fecha;Cuenta Corriente;Balance Comercial;Bienes;Servicios;Ingreso primario;Intereses;Utilidades y Dividendos;Ingreso secundario;Capital;Cuenta Financiera;IED (neto);Préstamos financieros, títulos de deuda y líneas de crédito;FAE;Resultado Cambiario Sector;Resultado Cambiario (Incluye Conceptos no informados por el cliente);Conceptos no informados por el cliente"
"Agricultura, Ganadería y Otras Actividades Primarias;2004;11;200411;65,2502890141;70,8882791319;72,2077772218;-1,3194980899;-5,695373997;-0,3596279038;-5,3336730932;0,0573838792;0;10,8508699167;6,294995254;12,644396638;-8,1622647253;76,1011589308;76,1011589308;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2004;12;200412;81,7433937354;85,0835378831;88,3512677219;-3,2677298388;-3,385958915;-0,410317875;-2,86278304;0,0458147673;0;8,8546329809;7,2000359765;1,726;-0,6227062456;90,5980267163;90,5980267163;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;1;200501;69,0082752977;70,2000511989;70,4251872687;-0,2251360698;-1,2378068676;-0,304538316;-0,9482485516;0,0460309664;0;31,4523266435;6,8450441191;11,0893790304;12,937758394;100,4606019412;100,4606019412;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;2;200502;86,5189448844;87,9397333036;88,4814908919;-0,5417575883;-1,3966948392;-0,556487272;-0,8461955672;-0,02409358;0;13,3877226755;6,5949061602;5,3245953638;1,5565548515;99,9066675599;99,9066675599;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;3;200503;119,1853208707;120,0065222066;121,1694882548;-1,1629660482;-0,8614997187;-0,5395847187;-0,326903;0,0402983828;0;13,3483506917;6,9826875023;5,5272885963;0,4095638426;132,5336715624;132,5336715624;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;4;200504;106,5138740237;106,8536822813;107,3767159689;-0,5230336876;-0,3658610651;-0,2567546298;-0,1042114353;0,0260528075;0;2,0606040114;6,5932004612;0,8747366315;-6,4955732813;108,5744780351;108,5744780351;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;5;200505;106,8484966318;108,6917044519;109,6223719157;-0,9306674638;-2,0574973356;-1,6158173596;-0,368009;0,2142895155;0;0,6818654679;5,9434774927;-0,8803254934;-7,0151630519;107,5303620997;107,5303620997;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;6;200506;115,3378769216;118,3860367247;110,7610180268;7,6250186979;-3,0337064011;-0,892601;-2,1381004011;-0,014453402;0;6,0618996935;6,8004433301;-1,0593907424;0,0540679417999996;121,3997766151;121,3997766151;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;7;200507;96,3128808578;96,7172902338;92,0324752203;4,6848150135;-0,386320126;-0,400234126;0,011281;-0,01808925;0;2,2633787464;8,3689988342;0,3468759312;-6,461996019;98,5762596042;98,5762596042;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;8;200508;85,1580769473;86,6144704936;85,2799804904;1,3344900032;-1,4740744283;-1,0874274283;-0,371991;0,017680882;0;-0,899399817799999;7,09353174;-1,4227204087;-6,8365186491;84,2586771295;84,2586771295;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;9;200509;68,9898257421;71,6537381085;72,155164537;-0,5014264285;-2,7855509916;-0,6656119916;-2,114039;0,1216386252;0;11,8611758269;7,5637939208;5,911454582;-1,5528392509;80,851001569;80,851001569;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;10;200510;66,4555101924;69,4729684637;69,9813687845;-0,5084003208;-2,9996324683;-0,363657;-2,6540264683;-0,017825803;0;10,9776853766;10,1868564616;1,409209;-0,778380085;77,433195569;77,433195569;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;11;200511;76,4548319116;79,0813858344;78,604269663;0,4771161714;-2,6652450578;-1,6087927278;-1,067733;0,038691135;0;5,56894948;7,256608526;3,2822698351;-4,9469485566;82,0237813916;82,0237813916;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2005;12;200512;93,1113844139;98,1830016639;101,0720674097;-2,8890657458;-5,1266;-2,069509;-3,053825;0,05498275;0;12,0632200833;8,6082601938;3,6757045;-2,1048796105;105,1746044972;105,1746044972;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;1;200601;104,6031753076;106,255532406;106,8849787945;-0,6294463885;-1,6777308449;-0,258822;-1,4269848449;0,0253737465;0;9,5967003473;6,6088807258;7,87260926;-4,5794806385;114,1998756549;114,1998756549;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;2;200602;99,9628001143;102,6111204986;102,844482759;-0,2333622604;-2,6863683943;-0,7409338043;-1,92479359;0,03804801;0;11,0523960897;9,5355789;5,2880788;-3,5418496103;111,015196204;111,015196204;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;3;200603;128,9085917882;131,1023410717;133,2564419848;-2,1541009131;-2,2301245335;-0,4395480601;-1,7645064734;0,03637525;0;14,3047414384;8,513519383;4,9845714208;1,2932077346;143,2133332266;143,2133332266;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;4;200604;113,7466130727;117,1810164176;119,1655633419;-1,9845469243;-3,4973731349;-0,42146687;-3,0641062649;0,06296979;0;8,1761193957;4,783161027;1,155178124;0,747747244700002;121,9227324684;121,9227324684;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;5;200605;128,0509814317;129,6364520383;130,4369855978;-0,8005335595;-1,7136234477;-1,506103785;-0,1944516627;0,1281528411;0;-3,1209336374;7,9695948794;0,541851231;-11,6435849478;124,9300477943;124,9300477943;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;6;200606;123,300022241;130,7000502079;131,5293549536;-0,8293047457;-7,5578638954;-0,9437851976;-6,5974786978;0,1578359285;0;4,7772405562;7,1751091072;7,3619306278;-9,1499201788;128,0772627972;128,0772627972;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;7;200607;125,6594700836;126,7514885514;126,8973781394;-0,145889588;-1,197446726;-0,423727726;-0,759519;0,1054282582;0;5,285713209;10,657759464;4,893658;-9,314592255;130,9451832926;130,9451832926;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;8;200608;135,6690911997;141,2304339429;142,309788378;-1,0793544351;-5,33184126;-1,226237;-4,05663626;-0,2295014832;0;17,1219207891;10,5491523826;5,0120287668;2,5273976397;152,7910119888;152,7910119888;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;9;200609;121,7601388256;126,5822343979;127,6766571585;-1,0944227606;-4,6532950923;-0,724364;-3,9135980923;-0,16880048;0;11,5491874744;10,364736755;7,6324825366;-6,2504178172;133,3093263;133,3093263;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;10;200610;113,9728933708;117,2003342574;119,6280022612;-2,4276680038;-3,1206194926;-1,268956;-1,8107158926;-0,106821394;0;16,8443080895;8,8338306035;9,3052690508;-0,4074615648;130,8172014603;130,8172014603;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;11;200611;117,7604338165;122,3953707853;128,1048096105;-5,7094388252;-5,8728520406;-1,9990593206;-3,85955072;1,2379150718;0;10,9465063265;11,1997059957;0,679481397999999;-0,434511534699999;128,706940143;128,706940143;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2006;12;200612;118,6384530298;121,3618244662;126,3394519304;-4,9776274642;-3,4230755893;-0,9083505875;-2,4845000018;0,6997041529;0;19,4144963331;8,985358722;9,6901391785;0,117377302599997;138,0529493629;138,0529493629;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;1;200701;126,7380559324;127,4875360333;126,1915340802;1,2960019531;-0,7991948297;-0,648871;-0,1279388297;0,0497147288;0;19,5799507907;16,595773416;2,880485636;1,7252177487;146,3180067231;146,3180067231;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;2;200702;124,2723777733;127,5517291313;124,6767985033;2,874930628;-3,313849;-0,865173;-2,40593;0,034497642;0;13,1699472052;6,527724999;6,5380365139;0,357090692300001;137,4423249785;137,4423249785;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;3;200703;147,6693793802;151,8775886841;154,4671015718;-2,5895128877;-4,2331689739;-0,677217;-3,5249739739;0,02495967;0;10,0861094819;10,1832233206;5,9028465;-5,7632718387;157,7554888621;157,7554888621;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;4;200704;135,8988662749;140,1021681396;140,2004790703;-0,0983109306999999;-4,2863454275;-0,4838892075;-3,77293522;0,0830435628;0;4,4056195628;10,15370818;2,0537884174;-7,4170340346;140,3044858377;140,3044858377;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;5;200705;148,7049110323;153,0288189957;154,2682314586;-1,2394124629;-5,1084499634;-1,6383079634;-3,470469;0,784542;0;5,1947421776;16,3103990416;2,898388286;-13,66564199;153,8996532099;153,8996532099;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;6;200706;143,5075598747;150,4777945919;151,7122564175;-1,2344618256;-7,0976101385;-0,8989846218;-6,1910605167;0,1273754213;0;3,3953018348;10,5887983637;-0,827898364999998;-10,5144521639;146,9028617095;146,9028617095;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;7;200707;160,3068817165;162,6767607343;161,8145493181;0,8622114162;-2,4378869917;-0,4447805917;-1,984014;0,0680079739;0;10,0195468363;31,4715734488;0,157876191200001;-19,7343838037;170,3264285528;170,3264285528;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;8;200708;132,5742695544;134,0385213638;136,4103387026;-2,3718173388;-1,5921101803;-1,4914500511;-0,0857621292;0,1278583709;0;-2,7091585253;10,310724489;6,8581558984;-22,6588479127;129,8651110291;129,8651110291;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;9;200709;110,0737833946;111,2171954737;114,8925341034;-3,6753386297;-1,1996500263;-0,7896120263;-0,38404;0,0562379472;0;-13,4960042803;10,7185227376;8,9882715016;-33,7312461115;96,5777791143;96,5777791143;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;10;200710;113,7131249945;116,1211233305;117,2452624636;-1,1241391331;-2,45829079;-1,53177859;-0,81511;0,050292454;0;-16,8425645754;21,7929491328;4,05672219;-42,3772824579;96,8705604191;96,8705604191;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;11;200711;114,270708217;116,9247858574;122,0556491041;-5,1308632467;-2,7336713549;-1,0998494499;-1,622889905;0,0795937145;0;13,5539120818;17,334966927;11,641153509;-14,8107873542;127,8246202988;127,8246202988;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2007;12;200712;111,69268997;115,47726619;123,04718799;-7,5699218;-4,06691528;-1,09156428;-2,909161;0,28233906;0;33,02068591;18,35165275;22,89287048;-8,36668232;144,71337588;144,71337588;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;1;200801;140,30936518;141,04501681;137,0235644;4,02145241;-0,75806799;-0,68349;-0,06202299;0,02241636;0;21,6980881;18,72233222;11,7555454;-9,36123552;162,00745328;162,00745328;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;2;200802;127,20899487;129,06956289;137,61801969;-8,5484568;-1,96113069;-1,45135589;-0,5;0,10056267;0;23,19760413;14,44791195;15,34992602;-6,61273957;150,406599;150,406599;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;3;200803;137,39768626;138,10576263;139,6070944;-1,50133177;-0,78965049;-0,51871549;-0,25;0,08157412;0;38,16405699;28,4162491;15,06908315;-5,05518826;175,56174325;175,56174325;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;4;200804;173,86125973;174,5521153;179,51423804;-4,96212274;-0,73081977;-0,48827853;-0,210675;0,0399642;0;-19,81034634;13,78349445;8,75078364;-43,10506843;154,05091339;154,05091339;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;5;200805;195,95730533;199,0307115;194,42545552;4,60525598;-3,26991177;-1,18667277;-2,072205;0,1965056;0;-57,44208192;14,6586808;-9,51638437;-62,78570535;138,51522341;138,51522341;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;6;200806;194,39965635;194,94261015;198,02700391;-3,08439376;-0,6830036;-0,5275398;-0,1248338;0,1400498;0;-33,77251847;15,49949257;-0,29224624;-48,4317818;160,62713788;160,62713788;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;7;200807;199,8167877;202,97273982;204,10509868;-1,13235886;-3,22050229;-0,91079401;-2,20181984;0,06455017;0;-4,25099885;17,42784756;10,01812835;-31,75561776;195,56578885;195,56578885;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;8;200808;154,73680037;159,71975211;162,09690692;-2,37715481;-5,06378933;-2,02745497;-2,9187968;0,08083759;0;9,53823316;14,68770677;16,14911307;-19,54417968;164,27503353;164,27503353;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;9;200809;138,97352801;145,06917879;147,29103026;-2,22185147;-6,23406079;-0,91498693;-5,17662182;0,13841001;0;16,9533611;48,51251635;7,49953619;-38,90671744;155,92688911;155,92688911;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;10;200810;134,65417839;135,92458296;134,47782249;1,44676047;-1,12030675;-1,03118775;-0,085503;-0,15009782;0;-48,47156303;23,31723279;5,236178;-78,07734482;86,18261536;86,18261536;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;11;200811;120,92692283;124,506412;127,15067762;-2,64426562;-3,59192958;-1,85965214;-1,69989396;0,01244041;0;22,08449125;17,47884439;18,41768535;-12,20340349;143,01141408;143,01141408;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2008;12;200812;119,48204476;124,20418143;128,07914802;-3,87496659;-4,8064481;-1,62953831;-3,14151279;0,08431143;0;17,76466695;25,18148413;0,733034190000002;-8,34691037;137,24671171;137,24671171;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;1;200901;127,24051983;129,47758774;132,18478218;-2,70719444;-2,30826614;-2,09187446;-0,21541568;0,07119823;0;6,27382905;9,61975273;4,43687452;-7,5955992;133,51434888;133,51434888;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;2;200902;117,8621064;118,33806959;121,43935738;-3,10128779;-0,48734121;-0,40294121;-0,083223;0,01137802;0;10,3537405;10,84579895;13,87229323;-14,17475868;128,2158469;128,2158469;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;3;200903;140,8685266;141,94713146;143,84217914;-1,89504768;-1,1092675;-1,0125955;-0,084279;0,03066264;0;-13,8614945;9,46531976;3,86532963;-27,00756689;127,0070321;127,0070321;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;4;200904;149,0962432;149,75899491;150,5948335;-0,83583859;-0,75926105;-0,69325654;-0,06535351;0,09650934;0;-5,86734532;9,85362071;-4,55480055;-11,73333464;143,22889788;143,22889788;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;5;200905;149,33538844;150,93403938;153,42220632;-2,48816694;-1,67088865;-1,234682;-0,43920665;0,07223771;0;-33,77887161;7,47061412;-16,13773614;-24,95930159;115,55651683;115,55651683;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;6;200906;150,65415417;152,85110573;154,68815391;-1,83704818;-2,28268204;-0,80454935;-1,43447069;0,08573048;0;-42,03231542;16,52478602;-5,21692921;-53,50317923;108,62183875;108,62183875;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;7;200907;147,85133976;148,58809518;149,56694692;-0,97885174;-0,79436466;-0,70839373;-0,08501093;0,05760924;0;11,49071502;28,83049797;6,52979455;-20,54616308;159,34205478;159,34205478;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;8;200908;134,82282703;136,00274245;136,72062592;-0,71788347;-1,32700498;-0,98897098;-0,340865;0,14708956;0;7,82705162;11,7191541;6,95785334;-13,20012982;142,64987865;142,64987865;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;9;200909;144,55229635;146,59169672;148,75814302;-2,1664463;-2,16302633;-1,16013333;-1;0,12362596;0;27,96933627;18,0866006;11,1421611;-1,03272743;172,52163262;172,52163262;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;10;200910;134,93627367;136,75295015;137,85676093;-1,10381078;-1,855609;-0,666245;-1,188183;0,03893252;0;33,33913334;15,03231143;19,63359945;-0,97975754;168,27540701;168,27540701;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;11;200911;137,02009648;140,79733414;141,71875828;-0,92142414;-3,79576346;-1,41145;-2,38374446;0,0185258;0;26,51989479;17,89924372;1,43103478;7,20968661;163,53999127;163,53999127;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2009;12;200912;133,58590044;139,28715731;143,10621851;-3,8190612;-5,24504734;-0,59593257;-4,64543777;-0,45620953;0;49,37940866;27,38245749;25,24601595;-4,35858078;182,9653091;182,9653091;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;1;201001;125,27622054;127,07912139;127,32434064;-0,24521925;-1,89540997;-1,39355725;-0,49127272;0,09250912;0;20,11032134;25,68477194;14,58441006;-18,13194866;145,38654188;145,38654188;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;2;201002;127,39632929;128,06962634;127,60510659;0,46451975;-0,70111242;-0,62564242;-0,06;0,02781537;0;-0,702093389999998;8,84079808;13,33944672;-22,81750419;126,6942359;126,6942359;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;3;201003;168,61211333;170,90165018;172,86105044;-1,95940026;-2,19692747;-0,57220047;-1,621775;-0,09260938;0;9,25197368;19,87518483;7,4668336;-15,41818275;177,86408701;177,86408701;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;4;201004;172,51682097;173,25138321;174,10483112;-0,85344791;-0,75584929;-0,61196329;-0,143109;0,02128705;0;0,789577530000003;19,67175714;-0,230639129999998;-18,06779748;173,3063985;173,3063985;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;5;201005;171,98902721;173,69691916;176,17704911;-2,48012995;-1,73895483;-1,64124212;-0,07532871;0,03106288;0;-33,56580492;15,95454092;-24,43820365;-25,15932619;138,42322229;138,42322229;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;6;201006;165,62538471;167,01587338;167,22670233;-0,21082895;-1,43152416;-0,88464316;-0,543689;0,04103549;0;-41,55634817;8,48439446;-20,42815989;-29,65534274;124,06903654;124,06903654;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;7;201007;180,53648122;184,75961488;186,1830124;-1,42339752;-4,22212126;-0,69624621;-3,49061157;-0,0010124;0;-1,63254071999999;12,4776272;14,16126886;-28,39060378;178,9039405;178,9039405;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;8;201008;174,18192111;177,21976871;179,83229767;-2,61252896;-3,61460742;-1,17341542;-2,40919;0,57675982;0;11,59797069;16,15700515;17,18222297;-21,71704143;185,7798918;185,7798918;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;9;201009;160,77283669;162,05126493;164,5714235;-2,52015857;-1,58420722;-1,11979332;-0,402273;0,30577898;0;5,4491017;15,8593188;19,77717555;-29,33525365;166,22193839;166,22193839;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;10;201010;158,62391878;162,74028632;164,84160121;-2,10131489;-4,09886019;-0,82607209;-2,7889365;-0,01750735;0;-0,19231545;12,24671151;9,73528638;-23,00253434;158,43160333;158,43160333;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;11;201011;158,93385864;166,03521979;167,89878369;-1,8635639;-7,27603947;-2,30014084;-4,14029325;0,17467832;0;6,19349683;16,02468201;15,50373088;-25,59027906;165,12735547;165,12735547;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2010;12;201012;157,16179039;167,97288969;169,22748011;-1,25459042;-10,79925002;-2,51413821;-7,41387659;-0,01184928;0;20,04908449;23,04724187;22,8563551;-25,68612448;177,21087488;177,21087488;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2011;1;201101;159,83511679;161,96920575;161,03119065;0,9380151;-2,47207099;-1,41219029;-0,525532;0,33798203;0;12,89436884;15,30741754;24,13813256;-26,68614926;172,72948563;172,72948563;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2011;2;201102;160,85277986;161,77274507;163,68000633;-1,90726126;-0,93197773;-0,73411229;-0,090176;0,01201252;-0,20505;16,42506839;12,74262974;27,67758088;-24,06883723;177,07279825;177,07279825;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2011;3;201103;191,24454813;192,49663856;193,69536814;-1,19872958;-1,33665716;-0,84345749;-0,14663469;0,08456673;0;11,66283481;17,37288363;19,47244598;-25,6450308;202,90738294;202,90738294;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2011;4;201104;190,41674199;192,67859425;194,08515293;-1,40655868;-2,22860408;-2,03755262;-0,11729653;-0,03324818;0;-29,22509619;12,72081088;1,4830473;-43,43139937;161,1916458;161,1916458;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2011;5;201105;197,72852556;200,81872785;201,0490361;-0,23030825;-3,12323158;-1,75925433;-1,0978;0,03302929;0;-68,42781826;15,13546602;-25,44557055;-59,26082373;129,3007073;129,3007073;0"
"Agricultura, Ganadería y Otras Actividades Primarias;2011;6;201106;195,21483385;196,34781146;197,17300877;-0,82519731;-1,77553274;-1,10082737;-0,284529;0,64255513;0;-40,24508599;23,02458893;5,7468473;-68,53354574;154,96974786;154,96974786;0"
